Jurisdiction,Not in ICU,ICU,Date,Active outbreaks in aged care homes as at 13 Sep 2022,Active outbreaks in aged care homes as at 20 Sep 2022,Active outbreaks in aged care homes as at 21 Sep 2022,Active outbreaks in aged care homes as at 28 Sep 2022,Active outbreaks in aged care homes as at 05 Oct 2022,Active outbreaks in aged care homes as at 12 Oct 2022,Active outbreaks in aged care homes as at 19 Oct 2022,Active outbreaks in aged care homes as at 26 Oct 2022,Active outbreaks in aged care homes as at 02 Nov 2022,Active outbreaks in aged care homes as at 09 Nov 2022,Active outbreaks in aged care homes as at 16 Nov 2022
NSW,2353.0,188.0,2022-01-16,,,,,,,,,,,
NT,36.0,0.0,2022-01-16,,,,,,,,,,,
QLD,621.0,49.0,2022-01-16,,,,,,,,,,,
SA,194.0,26.0,2022-01-16,,,,,,,,,,,
TAS,21.0,1.0,2022-01-16,,,,,,,,,,,
VIC,992.0,122.0,2022-01-16,,,,,,,,,,,
WA,0.0,0.0,2022-01-16,,,,,,,,,,,
Australia,4254.0,389.0,2022-01-17,,,,,,,,,,,
ACT,37.0,3.0,2022-01-17,,,,,,,,,,,
NSW,2353.0,188.0,2022-01-17,,,,,,,,,,,
NT,36.0,0.0,2022-01-17,,,,,,,,,,,
QLD,621.0,49.0,2022-01-17,,,,,,,,,,,
SA,194.0,26.0,2022-01-17,,,,,,,,,,,
TAS,21.0,1.0,2022-01-17,,,,,,,,,,,
VIC,992.0,122.0,2022-01-17,,,,,,,,,,,
WA,0.0,0.0,2022-01-17,,,,,,,,,,,
Australia,4499.0,407.0,2022-01-18,,,,,,,,,,,
ACT,48.0,4.0,2022-01-18,,,,,,,,,,,
NSW,2436.0,199.0,2022-01-18,,,,,,,,,,,
NT,38.0,1.0,2022-01-18,,,,,,,,,,,
QLD,655.0,47.0,2022-01-18,,,,,,,,,,,
SA,201.0,26.0,2022-01-18,,,,,,,,,,,
TAS,20.0,1.0,2022-01-18,,,,,,,,,,,
VIC,1100.0,129.0,2022-01-18,,,,,,,,,,,
WA,1.0,0.0,2022-01-18,,,,,,,,,,,
Australia,4883.0,424.0,2022-01-19,,,,,,,,,,,
ACT,55.0,5.0,2022-01-19,,,,,,,,,,,
NSW,2646.0,217.0,2022-01-19,,,,,,,,,,,
NT,53.0,0.0,2022-01-19,,,,,,,,,,,
QLD,783.0,52.0,2022-01-19,,,,,,,,,,,
SA,271.0,23.0,2022-01-19,,,,,,,,,,,
TAS,27.0,2.0,2022-01-19,,,,,,,,,,,
VIC,1048.0,125.0,2022-01-19,,,,,,,,,,,
WA,0.0,0.0,2022-01-19,,,,,,,,,,,
Australia,4860.0,417.0,2022-01-20,,,,,,,,,,,
ACT,59.0,3.0,2022-01-20,,,,,,,,,,,
NSW,2569.0,212.0,2022-01-20,,,,,,,,,,,
NT,57.0,0.0,2022-01-20,,,,,,,,,,,
QLD,802.0,48.0,2022-01-20,,,,,,,,,,,
SA,261.0,29.0,2022-01-20,,,,,,,,,,,
TAS,28.0,3.0,2022-01-20,,,,,,,,,,,
VIC,1084.0,122.0,2022-01-20,,,,,,,,,,,
WA,0.0,0.0,2022-01-20,,,,,,,,,,,
Australia,4723.0,424.0,2022-01-21,,,,,,,,,,,
ACT,60.0,2.0,2022-01-21,,,,,,,,,,,
NSW,2534.0,209.0,2022-01-21,,,,,,,,,,,
NT,60.0,2.0,2022-01-21,,,,,,,,,,,
QLD,801.0,54.0,2022-01-21,,,,,,,,,,,
SA,265.0,33.0,2022-01-21,,,,,,,,,,,
TAS,28.0,3.0,2022-01-21,,,,,,,,,,,
VIC,975.0,121.0,2022-01-21,,,,,,,,,,,
WA,0.0,0.0,2022-01-21,,,,,,,,,,,
Australia,4691.0,417.0,2022-01-22,,,,,,,,,,,
ACT,62.0,1.0,2022-01-22,,,,,,,,,,,
NSW,2558.0,204.0,2022-01-22,,,,,,,,,,,
NT,62.0,1.0,2022-01-22,,,,,,,,,,,
QLD,832.0,52.0,2022-01-22,,,,,,,,,,,
SA,239.0,37.0,2022-01-22,,,,,,,,,,,
TAS,29.0,2.0,2022-01-22,,,,,,,,,,,
VIC,909.0,120.0,2022-01-22,,,,,,,,,,,
WA,0.0,0.0,2022-01-22,,,,,,,,,,,
Australia,4644.0,392.0,2022-01-23,,,,,,,,,,,
ACT,64.0,3.0,2022-01-23,,,,,,,,,,,
NSW,2523.0,189.0,2022-01-23,,,,,,,,,,,
NT,73.0,2.0,2022-01-23,,,,,,,,,,,
QLD,816.0,47.0,2022-01-23,,,,,,,,,,,
SA,250.0,28.0,2022-01-23,,,,,,,,,,,
TAS,36.0,3.0,2022-01-23,,,,,,,,,,,
VIC,882.0,120.0,2022-01-23,,,,,,,,,,,
WA,0.0,0.0,2022-01-23,,,,,,,,,,,
Australia,4769.0,404.0,2022-01-24,,,,,,,,,,,
ACT,65.0,3.0,2022-01-24,,,,,,,,,,,
NSW,2620.0,196.0,2022-01-24,,,,,,,,,,,
NT,74.0,4.0,2022-01-24,,,,,,,,,,,
QLD,828.0,50.0,2022-01-24,,,,,,,,,,,
SA,265.0,29.0,2022-01-24,,,,,,,,,,,
TAS,38.0,3.0,2022-01-24,,,,,,,,,,,
VIC,879.0,119.0,2022-01-24,,,,,,,,,,,
WA,0.0,0.0,2022-01-24,,,,,,,,,,,
Australia,4995.0,395.0,2022-01-25,,,,,,,,,,,
ACT,64.0,3.0,2022-01-25,,,,,,,,,,,
NSW,2760.0,183.0,2022-01-25,,,,,,,,,,,
NT,69.0,3.0,2022-01-25,,,,,,,,,,,
QLD,877.0,51.0,2022-01-25,,,,,,,,,,,
SA,255.0,32.0,2022-01-25,,,,,,,,,,,
TAS,32.0,3.0,2022-01-25,,,,,,,,,,,
VIC,938.0,119.0,2022-01-25,,,,,,,,,,,
WA,0.0,1.0,2022-01-25,,,,,,,,,,,
Australia,4855.0,372.0,2022-01-26,,,,,,,,,,,
ACT,62.0,5.0,2022-01-26,,,,,,,,,,,
NSW,2619.0,175.0,2022-01-26,,,,,,,,,,,
NT,68.0,3.0,2022-01-26,,,,,,,,,,,
QLD,842.0,47.0,2022-01-26,,,,,,,,,,,
SA,262.0,26.0,2022-01-26,,,,,,,,,,,
TAS,26.0,2.0,2022-01-26,,,,,,,,,,,
VIC,976.0,113.0,2022-01-26,,,,,,,,,,,
WA,0.0,1.0,2022-01-26,,,,,,,,,,,
Australia,4708.0,382.0,2022-01-27,,,,,,,,,,,
ACT,69.0,4.0,2022-01-27,,,,,,,,,,,
NSW,2541.0,181.0,2022-01-27,,,,,,,,,,,
NT,91.0,4.0,2022-01-27,,,,,,,,,,,
QLD,781.0,48.0,2022-01-27,,,,,,,,,,,
SA,261.0,27.0,2022-01-27,,,,,,,,,,,
TAS,24.0,0.0,2022-01-27,,,,,,,,,,,
VIC,940.0,117.0,2022-01-27,,,,,,,,,,,
WA,1.0,1.0,2022-01-27,,,,,,,,,,,
Australia,4630.0,391.0,2022-01-28,,,,,,,,,,,
ACT,61.0,5.0,2022-01-28,,,,,,,,,,,
NSW,2548.0,189.0,2022-01-28,,,,,,,,,,,
NT,102.0,3.0,2022-01-28,,,,,,,,,,,
QLD,764.0,54.0,2022-01-28,,,,,,,,,,,
SA,261.0,24.0,2022-01-28,,,,,,,,,,,
TAS,18.0,1.0,2022-01-28,,,,,,,,,,,
VIC,874.0,114.0,2022-01-28,,,,,,,,,,,
WA,2.0,1.0,2022-01-28,,,,,,,,,,,
Australia,4559.0,394.0,2022-01-29,,,,,,,,,,,
ACT,56.0,5.0,2022-01-29,,,,,,,,,,,
NSW,2507.0,186.0,2022-01-29,,,,,,,,,,,
NT,106.0,5.0,2022-01-29,,,,,,,,,,,
QLD,780.0,53.0,2022-01-29,,,,,,,,,,,
SA,254.0,29.0,2022-01-29,,,,,,,,,,,
TAS,16.0,1.0,2022-01-29,,,,,,,,,,,
VIC,839.0,114.0,2022-01-29,,,,,,,,,,,
WA,1.0,1.0,2022-01-29,,,,,,,,,,,
Australia,4423.0,367.0,2022-01-30,,,,,,,,,,,
ACT,59.0,3.0,2022-01-30,,,,,,,,,,,
NSW,2481.0,182.0,2022-01-30,,,,,,,,,,,
NT,118.0,3.0,2022-01-30,,,,,,,,,,,
QLD,704.0,41.0,2022-01-30,,,,,,,,,,,
SA,264.0,25.0,2022-01-30,,,,,,,,,,,
TAS,19.0,1.0,2022-01-30,,,,,,,,,,,
VIC,778.0,111.0,2022-01-30,,,,,,,,,,,
WA,0.0,1.0,2022-01-30,,,,,,,,,,,
Australia,4576.0,371.0,2022-01-31,,,,,,,,,,,
ACT,60.0,2.0,2022-01-31,,,,,,,,,,,
NSW,2594.0,185.0,2022-01-31,,,,,,,,,,,
NT,109.0,5.0,2022-01-31,,,,,,,,,,,
QLD,771.0,50.0,2022-01-31,,,,,,,,,,,
SA,256.0,25.0,2022-01-31,,,,,,,,,,,
TAS,15.0,1.0,2022-01-31,,,,,,,,,,,
VIC,771.0,102.0,2022-01-31,,,,,,,,,,,
WA,0.0,1.0,2022-01-31,,,,,,,,,,,
Australia,4579.0,375.0,2022-02-01,,,,,,,,,,,
ACT,63.0,1.0,2022-02-01,,,,,,,,,,,
NSW,2563.0,186.0,2022-02-01,,,,,,,,,,,
NT,128.0,4.0,2022-02-01,,,,,,,,,,,
QLD,814.0,54.0,2022-02-01,,,,,,,,,,,
SA,251.0,22.0,2022-02-01,,,,,,,,,,,
TAS,15.0,1.0,2022-02-01,,,,,,,,,,,
VIC,745.0,106.0,2022-02-01,,,,,,,,,,,
WA,0.0,1.0,2022-02-01,,,,,,,,,,,
Australia,4316.0,349.0,2022-02-02,,,,,,,,,,,
ACT,60.0,1.0,2022-02-02,,,,,,,,,,,
NSW,2453.0,170.0,2022-02-02,,,,,,,,,,,
NT,124.0,5.0,2022-02-02,,,,,,,,,,,
QLD,787.0,50.0,2022-02-02,,,,,,,,,,,
SA,212.0,21.0,2022-02-02,,,,,,,,,,,
TAS,11.0,2.0,2022-02-02,,,,,,,,,,,
VIC,669.0,99.0,2022-02-02,,,,,,,,,,,
WA,0.0,1.0,2022-02-02,,,,,,,,,,,
Australia,4277.0,317.0,2022-02-03,,,,,,,,,,,
ACT,62.0,1.0,2022-02-03,,,,,,,,,,,
NSW,2418.0,160.0,2022-02-03,,,,,,,,,,,
NT,135.0,6.0,2022-02-03,,,,,,,,,,,
QLD,773.0,47.0,2022-02-03,,,,,,,,,,,
SA,208.0,18.0,2022-02-03,,,,,,,,,,,
TAS,11.0,2.0,2022-02-03,,,,,,,,,,,
VIC,670.0,82.0,2022-02-03,,,,,,,,,,,
WA,0.0,1.0,2022-02-03,,,,,,,,,,,
Australia,4133.0,315.0,2022-02-04,,,,,,,,,,,
ACT,64.0,1.0,2022-02-04,,,,,,,,,,,
NSW,2334.0,160.0,2022-02-04,,,,,,,,,,,
NT,142.0,6.0,2022-02-04,,,,,,,,,,,
QLD,746.0,52.0,2022-02-04,,,,,,,,,,,
SA,208.0,15.0,2022-02-04,,,,,,,,,,,
TAS,11.0,2.0,2022-02-04,,,,,,,,,,,
VIC,628.0,79.0,2022-02-04,,,,,,,,,,,
WA,0.0,0.0,2022-02-04,,,,,,,,,,,
Australia,3952.0,304.0,2022-02-05,,,,,,,,,,,
ACT,62.0,1.0,2022-02-05,,,,,,,,,,,
NSW,2185.0,152.0,2022-02-05,,,,,,,,,,,
NT,146.0,5.0,2022-02-05,,,,,,,,,,,
QLD,742.0,48.0,2022-02-05,,,,,,,,,,,
SA,202.0,16.0,2022-02-05,,,,,,,,,,,
TAS,8.0,2.0,2022-02-05,,,,,,,,,,,
VIC,607.0,80.0,2022-02-05,,,,,,,,,,,
WA,0.0,0.0,2022-02-05,,,,,,,,,,,
Australia,3861.0,286.0,2022-02-06,,,,,,,,,,,
ACT,58.0,2.0,2022-02-06,,,,,,,,,,,
NSW,2174.0,147.0,2022-02-06,,,,,,,,,,,
NT,155.0,3.0,2022-02-06,,,,,,,,,,,
QLD,679.0,47.0,2022-02-06,,,,,,,,,,,
SA,205.0,13.0,2022-02-06,,,,,,,,,,,
TAS,10.0,1.0,2022-02-06,,,,,,,,,,,
VIC,579.0,73.0,2022-02-06,,,,,,,,,,,
WA,1.0,0.0,2022-02-06,,,,,,,,,,,
Australia,3642.0,274.0,2022-02-07,,,,,,,,,,,
ACT,55.0,2.0,2022-02-07,,,,,,,,,,,
NSW,1962.0,137.0,2022-02-07,,,,,,,,,,,
NT,155.0,3.0,2022-02-07,,,,,,,,,,,
QLD,681.0,43.0,2022-02-07,,,,,,,,,,,
SA,208.0,16.0,2022-02-07,,,,,,,,,,,
TAS,14.0,1.0,2022-02-07,,,,,,,,,,,
VIC,566.0,72.0,2022-02-07,,,,,,,,,,,
WA,1.0,0.0,2022-02-07,,,,,,,,,,,
Australia,3529.0,271.0,2022-02-08,,,,,,,,,,,
ACT,54.0,1.0,2022-02-08,,,,,,,,,,,
NSW,1936.0,132.0,2022-02-08,,,,,,,,,,,
NT,173.0,5.0,2022-02-08,,,,,,,,,,,
QLD,660.0,45.0,2022-02-08,,,,,,,,,,,
SA,189.0,15.0,2022-02-08,,,,,,,,,,,
TAS,13.0,1.0,2022-02-08,,,,,,,,,,,
VIC,503.0,72.0,2022-02-08,,,,,,,,,,,
WA,1.0,0.0,2022-02-08,,,,,,,,,,,
Australia,3314.0,274.0,2022-02-09,,,,,,,,,,,
ACT,50.0,4.0,2022-02-09,,,,,,,,,,,
NSW,1774.0,132.0,2022-02-09,,,,,,,,,,,
NT,170.0,4.0,2022-02-09,,,,,,,,,,,
QLD,642.0,44.0,2022-02-09,,,,,,,,,,,
SA,192.0,18.0,2022-02-09,,,,,,,,,,,
TAS,14.0,1.0,2022-02-09,,,,,,,,,,,
VIC,471.0,71.0,2022-02-09,,,,,,,,,,,
WA,1.0,0.0,2022-02-09,,,,,,,,,,,
Australia,3147.0,267.0,2022-02-10,,,,,,,,,,,
ACT,48.0,3.0,2022-02-10,,,,,,,,,,,
NSW,1674.0,121.0,2022-02-10,,,,,,,,,,,
NT,165.0,3.0,2022-02-10,,,,,,,,,,,
QLD,585.0,48.0,2022-02-10,,,,,,,,,,,
SA,190.0,16.0,2022-02-10,,,,,,,,,,,
TAS,16.0,1.0,2022-02-10,,,,,,,,,,,
VIC,468.0,75.0,2022-02-10,,,,,,,,,,,
WA,1.0,0.0,2022-02-10,,,,,,,,,,,
Australia,3035.0,258.0,2022-02-11,,,,,,,,,,,
ACT,47.0,3.0,2022-02-11,,,,,,,,,,,
NSW,1608.0,108.0,2022-02-11,,,,,,,,,,,
NT,161.0,3.0,2022-02-11,,,,,,,,,,,
QLD,539.0,45.0,2022-02-11,,,,,,,,,,,
SA,194.0,16.0,2022-02-11,,,,,,,,,,,
TAS,15.0,1.0,2022-02-11,,,,,,,,,,,
VIC,471.0,82.0,2022-02-11,,,,,,,,,,,
WA,0.0,0.0,2022-02-11,,,,,,,,,,,
Australia,2869.0,257.0,2022-02-12,,,,,,,,,,,
ACT,48.0,3.0,2022-02-12,,,,,,,,,,,
NSW,1546.0,104.0,2022-02-12,,,,,,,,,,,
NT,168.0,2.0,2022-02-12,,,,,,,,,,,
QLD,487.0,51.0,2022-02-12,,,,,,,,,,,
SA,196.0,17.0,2022-02-12,,,,,,,,,,,
TAS,16.0,1.0,2022-02-12,,,,,,,,,,,
VIC,408.0,79.0,2022-02-12,,,,,,,,,,,
WA,0.0,0.0,2022-02-12,,,,,,,,,,,
Australia,2787.0,223.0,2022-02-13,,,,,,,,,,,
ACT,46.0,4.0,2022-02-13,,,,,,,,,,,
NSW,1521.0,93.0,2022-02-13,,,,,,,,,,,
NT,163.0,1.0,2022-02-13,,,,,,,,,,,
QLD,451.0,45.0,2022-02-13,,,,,,,,,,,
SA,194.0,17.0,2022-02-13,,,,,,,,,,,
TAS,9.0,1.0,2022-02-13,,,,,,,,,,,
VIC,403.0,62.0,2022-02-13,,,,,,,,,,,
WA,0.0,0.0,2022-02-13,,,,,,,,,,,
Australia,2838.0,231.0,2022-02-14,,,,,,,,,,,
ACT,47.0,4.0,2022-02-14,,,,,,,,,,,
NSW,1549.0,100.0,2022-02-14,,,,,,,,,,,
NT,163.0,1.0,2022-02-14,,,,,,,,,,,
QLD,473.0,41.0,2022-02-14,,,,,,,,,,,
SA,196.0,18.0,2022-02-14,,,,,,,,,,,
TAS,11.0,1.0,2022-02-14,,,,,,,,,,,
VIC,399.0,66.0,2022-02-14,,,,,,,,,,,
WA,0.0,0.0,2022-02-14,,,,,,,,,,,
Australia,2727.0,222.0,2022-02-15,,,,,,,,,,,
ACT,45.0,4.0,2022-02-15,,,,,,,,,,,
NSW,1487.0,96.0,2022-02-15,,,,,,,,,,,
NT,155.0,1.0,2022-02-15,,,,,,,,,,,
QLD,456.0,35.0,2022-02-15,,,,,,,,,,,
SA,201.0,18.0,2022-02-15,,,,,,,,,,,
TAS,9.0,1.0,2022-02-15,,,,,,,,,,,
VIC,374.0,67.0,2022-02-15,,,,,,,,,,,
WA,0.0,0.0,2022-02-15,,,,,,,,,,,
Australia,2515.0,223.0,2022-02-16,,,,,,,,,,,
ACT,45.0,3.0,2022-02-16,,,,,,,,,,,
NSW,1386.0,92.0,2022-02-16,,,,,,,,,,,
NT,142.0,1.0,2022-02-16,,,,,,,,,,,
QLD,394.0,38.0,2022-02-16,,,,,,,,,,,
SA,208.0,19.0,2022-02-16,,,,,,,,,,,
TAS,11.0,2.0,2022-02-16,,,,,,,,,,,
VIC,329.0,68.0,2022-02-16,,,,,,,,,,,
WA,0.0,0.0,2022-02-16,,,,,,,,,,,
Australia,2453.0,224.0,2022-02-17,,,,,,,,,,,
ACT,44.0,3.0,2022-02-17,,,,,,,,,,,
NSW,1355.0,92.0,2022-02-17,,,,,,,,,,,
NT,136.0,1.0,2022-02-17,,,,,,,,,,,
QLD,373.0,35.0,2022-02-17,,,,,,,,,,,
SA,208.0,13.0,2022-02-17,,,,,,,,,,,
TAS,14.0,2.0,2022-02-17,,,,,,,,,,,
VIC,323.0,78.0,2022-02-17,,,,,,,,,,,
WA,0.0,0.0,2022-02-17,,,,,,,,,,,
Australia,2320.0,208.0,2022-02-18,,,,,,,,,,,
ACT,43.0,2.0,2022-02-18,,,,,,,,,,,
NSW,1289.0,92.0,2022-02-18,,,,,,,,,,,
NT,126.0,1.0,2022-02-18,,,,,,,,,,,
QLD,374.0,34.0,2022-02-18,,,,,,,,,,,
SA,164.0,13.0,2022-02-18,,,,,,,,,,,
TAS,9.0,2.0,2022-02-18,,,,,,,,,,,
VIC,315.0,64.0,2022-02-18,,,,,,,,,,,
WA,0.0,0.0,2022-02-18,,,,,,,,,,,
Australia,2277.0,190.0,2022-02-19,,,,,,,,,,,
ACT,38.0,2.0,2022-02-19,,,,,,,,,,,
NSW,1216.0,81.0,2022-02-19,,,,,,,,,,,
NT,155.0,2.0,2022-02-19,,,,,,,,,,,
QLD,378.0,36.0,2022-02-19,,,,,,,,,,,
SA,170.0,12.0,2022-02-19,,,,,,,,,,,
TAS,10.0,2.0,2022-02-19,,,,,,,,,,,
VIC,310.0,55.0,2022-02-19,,,,,,,,,,,
WA,0.0,0.0,2022-02-19,,,,,,,,,,,
Australia,2208.0,184.0,2022-02-20,,,,,,,,,,,
ACT,34.0,1.0,2022-02-20,,,,,,,,,,,
NSW,1203.0,77.0,2022-02-20,,,,,,,,,,,
NT,130.0,2.0,2022-02-20,,,,,,,,,,,
QLD,348.0,38.0,2022-02-20,,,,,,,,,,,
SA,177.0,13.0,2022-02-20,,,,,,,,,,,
TAS,7.0,2.0,2022-02-20,,,,,,,,,,,
VIC,307.0,51.0,2022-02-20,,,,,,,,,,,
WA,2.0,0.0,2022-02-20,,,,,,,,,,,
Australia,2237.0,179.0,2022-02-21,,,,,,,,,,,
ACT,36.0,1.0,2022-02-21,,,,,,,,,,,
NSW,1214.0,74.0,2022-02-21,,,,,,,,,,,
NT,120.0,3.0,2022-02-21,,,,,,,,,,,
QLD,364.0,37.0,2022-02-21,,,,,,,,,,,
SA,177.0,13.0,2022-02-21,,,,,,,,,,,
TAS,8.0,2.0,2022-02-21,,,,,,,,,,,
VIC,312.0,49.0,2022-02-21,,,,,,,,,,,
WA,6.0,0.0,2022-02-21,,,,,,,,,,,
Australia,2244.0,171.0,2022-02-22,,,,,,,,,,,
ACT,40.0,1.0,2022-02-22,,,,,,,,,,,
NSW,1222.0,71.0,2022-02-22,,,,,,,,,,,
NT,120.0,3.0,2022-02-22,,,,,,,,,,,
QLD,360.0,34.0,2022-02-22,,,,,,,,,,,
SA,193.0,12.0,2022-02-22,,,,,,,,,,,
TAS,9.0,2.0,2022-02-22,,,,,,,,,,,
VIC,297.0,48.0,2022-02-22,,,,,,,,,,,
WA,3.0,0.0,2022-02-22,,,,,,,,,,,
Australia,2150.0,172.0,2022-02-23,,,,,,,,,,,
ACT,38.0,2.0,2022-02-23,,,,,,,,,,,
NSW,1177.0,69.0,2022-02-23,,,,,,,,,,,
NT,127.0,4.0,2022-02-23,,,,,,,,,,,
QLD,344.0,35.0,2022-02-23,,,,,,,,,,,
SA,178.0,14.0,2022-02-23,,,,,,,,,,,
TAS,8.0,2.0,2022-02-23,,,,,,,,,,,
VIC,273.0,46.0,2022-02-23,,,,,,,,,,,
WA,5.0,0.0,2022-02-23,,,,,,,,,,,
Australia,2029.0,157.0,2022-02-24,,,,,,,,,,,
ACT,38.0,3.0,2022-02-24,,,,,,,,,,,
NSW,1152.0,59.0,2022-02-24,,,,,,,,,,,
NT,101.0,7.0,2022-02-24,,,,,,,,,,,
QLD,304.0,30.0,2022-02-24,,,,,,,,,,,
SA,138.0,13.0,2022-02-24,,,,,,,,,,,
TAS,10.0,2.0,2022-02-24,,,,,,,,,,,
VIC,279.0,43.0,2022-02-24,,,,,,,,,,,
WA,7.0,0.0,2022-02-24,,,,,,,,,,,
Australia,1915.0,157.0,2022-02-25,,,,,,,,,,,
ACT,38.0,3.0,2022-02-25,,,,,,,,,,,
NSW,1080.0,64.0,2022-02-25,,,,,,,,,,,
NT,94.0,7.0,2022-02-25,,,,,,,,,,,
QLD,320.0,30.0,2022-02-25,,,,,,,,,,,
SA,99.0,13.0,2022-02-25,,,,,,,,,,,
TAS,9.0,2.0,2022-02-25,,,,,,,,,,,
VIC,263.0,38.0,2022-02-25,,,,,,,,,,,
WA,12.0,0.0,2022-02-25,,,,,,,,,,,
Australia,1875.0,150.0,2022-02-26,,,,,,,,,,,
ACT,39.0,2.0,2022-02-26,,,,,,,,,,,
NSW,1071.0,59.0,2022-02-26,,,,,,,,,,,
NT,91.0,7.0,2022-02-26,,,,,,,,,,,
QLD,316.0,25.0,2022-02-26,,,,,,,,,,,
SA,97.0,12.0,2022-02-26,,,,,,,,,,,
TAS,8.0,2.0,2022-02-26,,,,,,,,,,,
VIC,238.0,43.0,2022-02-26,,,,,,,,,,,
WA,15.0,0.0,2022-02-26,,,,,,,,,,,
Australia,1858.0,137.0,2022-02-27,,,,,,,,,,,
ACT,43.0,0.0,2022-02-27,,,,,,,,,,,
NSW,1088.0,58.0,2022-02-27,,,,,,,,,,,
NT,95.0,6.0,2022-02-27,,,,,,,,,,,
QLD,271.0,24.0,2022-02-27,,,,,,,,,,,
SA,103.0,11.0,2022-02-27,,,,,,,,,,,
TAS,9.0,0.0,2022-02-27,,,,,,,,,,,
VIC,236.0,38.0,2022-02-27,,,,,,,,,,,
WA,13.0,0.0,2022-02-27,,,,,,,,,,,
Australia,1867.0,136.0,2022-02-28,,,,,,,,,,,
ACT,44.0,0.0,2022-02-28,,,,,,,,,,,
NSW,1081.0,55.0,2022-02-28,,,,,,,,,,,
NT,92.0,4.0,2022-02-28,,,,,,,,,,,
QLD,286.0,25.0,2022-02-28,,,,,,,,,,,
SA,99.0,10.0,2022-02-28,,,,,,,,,,,
TAS,11.0,0.0,2022-02-28,,,,,,,,,,,
VIC,241.0,42.0,2022-02-28,,,,,,,,,,,
WA,13.0,0.0,2022-02-28,,,,,,,,,,,
Australia,1809.0,131.0,2022-03-01,,,,,,,,,,,
ACT,45.0,0.0,2022-03-01,,,,,,,,,,,
NSW,1049.0,49.0,2022-03-01,,,,,,,,,,,
NT,82.0,4.0,2022-03-01,,,,,,,,,,,
QLD,290.0,26.0,2022-03-01,,,,,,,,,,,
SA,102.0,9.0,2022-03-01,,,,,,,,,,,
TAS,11.0,2.0,2022-03-01,,,,,,,,,,,
VIC,214.0,41.0,2022-03-01,,,,,,,,,,,
WA,16.0,0.0,2022-03-01,,,,,,,,,,,
Australia,1783.0,121.0,2022-03-02,,,,,,,,,,,
ACT,40.0,0.0,2022-03-02,,,,,,,,,,,
NSW,1027.0,45.0,2022-03-02,,,,,,,,,,,
NT,74.0,2.0,2022-03-02,,,,,,,,,,,
QLD,286.0,26.0,2022-03-02,,,,,,,,,,,
SA,103.0,9.0,2022-03-02,,,,,,,,,,,
TAS,10.0,2.0,2022-03-02,,,,,,,,,,,
VIC,227.0,37.0,2022-03-02,,,,,,,,,,,
WA,16.0,0.0,2022-03-02,,,,,,,,,,,
Australia,1719.0,118.0,2022-03-03,,,,,,,,,,,
ACT,37.0,2.0,2022-03-03,,,,,,,,,,,
NSW,992.0,43.0,2022-03-03,,,,,,,,,,,
NT,46.0,2.0,2022-03-03,,,,,,,,,,,
QLD,289.0,26.0,2022-03-03,,,,,,,,,,,
SA,95.0,9.0,2022-03-03,,,,,,,,,,,
TAS,9.0,3.0,2022-03-03,,,,,,,,,,,
VIC,229.0,33.0,2022-03-03,,,,,,,,,,,
WA,22.0,0.0,2022-03-03,,,,,,,,,,,
Australia,1648.0,105.0,2022-03-04,,,,,,,,,,,
ACT,33.0,2.0,2022-03-04,,,,,,,,,,,
NSW,958.0,42.0,2022-03-04,,,,,,,,,,,
NT,46.0,2.0,2022-03-04,,,,,,,,,,,
QLD,266.0,18.0,2022-03-04,,,,,,,,,,,
SA,97.0,9.0,2022-03-04,,,,,,,,,,,
TAS,10.0,4.0,2022-03-04,,,,,,,,,,,
VIC,217.0,28.0,2022-03-04,,,,,,,,,,,
WA,21.0,0.0,2022-03-04,,,,,,,,,,,
Australia,1640.0,112.0,2022-03-05,,,,,,,,,,,
ACT,37.0,2.0,2022-03-05,,,,,,,,,,,
NSW,950.0,45.0,2022-03-05,,,,,,,,,,,
NT,46.0,2.0,2022-03-05,,,,,,,,,,,
QLD,255.0,21.0,2022-03-05,,,,,,,,,,,
SA,90.0,10.0,2022-03-05,,,,,,,,,,,
TAS,12.0,4.0,2022-03-05,,,,,,,,,,,
VIC,222.0,28.0,2022-03-05,,,,,,,,,,,
WA,28.0,0.0,2022-03-05,,,,,,,,,,,
Australia,1624.0,113.0,2022-03-06,,,,,,,,,,,
ACT,34.0,2.0,2022-03-06,,,,,,,,,,,
NSW,966.0,43.0,2022-03-06,,,,,,,,,,,
NT,52.0,2.0,2022-03-06,,,,,,,,,,,
QLD,243.0,22.0,2022-03-06,,,,,,,,,,,
SA,91.0,12.0,2022-03-06,,,,,,,,,,,
TAS,13.0,5.0,2022-03-06,,,,,,,,,,,
VIC,192.0,27.0,2022-03-06,,,,,,,,,,,
WA,33.0,0.0,2022-03-06,,,,,,,,,,,
Australia,1692.0,117.0,2022-03-07,,,,,,,,,,,
ACT,37.0,2.0,2022-03-07,,,,,,,,,,,
NSW,1023.0,43.0,2022-03-07,,,,,,,,,,,
NT,44.0,3.0,2022-03-07,,,,,,,,,,,
QLD,247.0,20.0,2022-03-07,,,,,,,,,,,
SA,91.0,15.0,2022-03-07,,,,,,,,,,,
TAS,16.0,5.0,2022-03-07,,,,,,,,,,,
VIC,198.0,29.0,2022-03-07,,,,,,,,,,,
WA,36.0,0.0,2022-03-07,,,,,,,,,,,
Australia,1676.0,112.0,2022-03-08,,,,,,,,,,,
