Jurisdiction,Overseas,Locally acquired - contact of confirmed case,Locally acquired - unknown contact*,Locally acquired - interstate travel,Under investigation*,Total cases,Total deaths,Date,Locally acquired - unknown contact,Under investigation,"Population with at least one doses, 5+ years (%)","Population with two doses, 5+ years (%)","Eligible population with third dose, 16+ years (%)","Eligible population with fourth dose, 30+ years (%)"
QLD,1584.0,759.0,193.0,179.0,2318.0,5033.0,7.0,2021-12-26,,,,,,
SA,720.0,1139.0,439.0,241.0,1785.0,4324.0,4.0,2021-12-26,,,,,,
TAS,92.0,150.0,8.0,68.0,86.0,404.0,13.0,2021-12-26,,,,,,
VIC,1542.0,80597.0,5179.0,0.0,69849.0,157167.0,1492.0,2021-12-26,,,,,,
WA,1018.0,99.0,14.0,12.0,0.0,1143.0,9.0,2021-12-26,,,,,,
Australia,9460.0,153517.0,39330.0,1172.0,108617.0,312096.0,2197.0,2021-12-27,,,,,,
ACT,118.0,1909.0,321.0,194.0,400.0,2942.0,15.0,2021-12-27,,,,,,
NSW,4155.0,67598.0,32931.0,400.0,31927.0,137011.0,652.0,2021-12-27,,,,,,
NT,228.0,169.0,1.0,50.0,0.0,448.0,1.0,2021-12-27,,,,,,
QLD,1586.0,793.0,214.0,185.0,3020.0,5798.0,7.0,2021-12-27,,,,,,
SA,720.0,1227.0,613.0,257.0,2345.0,5162.0,5.0,2021-12-27,,,,,,
TAS,92.0,161.0,15.0,74.0,101.0,443.0,13.0,2021-12-27,,,,,,
VIC,1543.0,81559.0,5221.0,0.0,70824.0,159147.0,1495.0,2021-12-27,,,,,,
WA,1018.0,101.0,14.0,12.0,0.0,1145.0,9.0,2021-12-27,,,,,,
Australia,9485.0,155934.0,40052.0,1230.0,116584.0,323285.0,2202.0,2021-12-28,,,,,,
ACT,118.0,1928.0,329.0,198.0,613.0,3186.0,15.0,2021-12-28,,,,,,
NSW,4166.0,68764.0,33620.0,416.0,36076.0,143042.0,653.0,2021-12-28,,,,,,
NT,228.0,176.0,0.0,52.0,0.0,456.0,1.0,2021-12-28,,,,,,
QLD,1586.0,862.0,263.0,201.0,4049.0,6961.0,7.0,2021-12-28,,,,,,
SA,720.0,1691.0,583.0,271.0,2895.0,6160.0,5.0,2021-12-28,,,,,,
TAS,94.0,175.0,19.0,79.0,120.0,487.0,13.0,2021-12-28,,,,,,
VIC,1553.0,82237.0,5224.0,0.0,72831.0,161845.0,1499.0,2021-12-28,,,,,,
WA,1020.0,101.0,14.0,13.0,0.0,1148.0,9.0,2021-12-28,,,,,,
Australia,9500.0,158468.0,40982.0,1288.0,131199.0,341437.0,2210.0,2021-12-29,,,,,,
ACT,118.0,2066.0,329.0,198.0,613.0,3324.0,15.0,2021-12-29,,,,,,
NSW,4172.0,69919.0,34318.0,432.0,45350.0,154191.0,656.0,2021-12-29,,,,,,
NT,228.0,185.0,4.0,60.0,0.0,477.0,1.0,2021-12-29,,,,,,
QLD,1588.0,941.0,327.0,221.0,5455.0,8532.0,7.0,2021-12-29,,,,,,
SA,720.0,1901.0,726.0,279.0,3999.0,7625.0,5.0,2021-12-29,,,,,,
TAS,94.0,193.0,24.0,85.0,149.0,545.0,13.0,2021-12-29,,,,,,
VIC,1560.0,83162.0,5240.0,0.0,75633.0,165595.0,1504.0,2021-12-29,,,,,,
WA,1020.0,101.0,14.0,13.0,0.0,1148.0,9.0,2021-12-29,,,,,,
Australia,9521.0,161241.0,42073.0,1355.0,148487.0,362677.0,2226.0,2021-12-30,,,,,,
ACT,118.0,2319.0,329.0,198.0,600.0,3564.0,15.0,2021-12-30,,,,,,
NSW,4185.0,71046.0,35202.0,452.0,55488.0,166373.0,657.0,2021-12-30,,,,,,
NT,228.0,197.0,6.0,66.0,13.0,510.0,1.0,2021-12-30,,,,,,
QLD,1589.0,1029.0,385.0,233.0,7516.0,10752.0,7.0,2021-12-30,,,,,,
SA,722.0,2190.0,848.0,289.0,4944.0,8993.0,6.0,2021-12-30,,,,,,
TAS,95.0,218.0,33.0,103.0,188.0,637.0,13.0,2021-12-30,,,,,,
VIC,1563.0,84139.0,5256.0,0.0,79737.0,170695.0,1518.0,2021-12-30,,,,,,
WA,1021.0,103.0,14.0,14.0,1.0,1153.0,9.0,2021-12-30,,,,,,
Australia,9530.0,164115.0,42921.0,1454.0,177484.0,395504.0,2239.0,2021-12-31,,,,,,
ACT,118.0,2781.0,329.0,198.0,584.0,4010.0,15.0,2021-12-31,,,,,,
NSW,4188.0,71985.0,35926.0,466.0,74939.0,187504.0,663.0,2021-12-31,,,,,,
NT,228.0,224.0,9.0,87.0,24.0,572.0,1.0,2021-12-31,,,,,,
QLD,1590.0,1133.0,480.0,252.0,10408.0,13863.0,7.0,2021-12-31,,,,,,
SA,723.0,2216.0,848.0,291.0,7000.0,11078.0,6.0,2021-12-31,,,,,,
TAS,95.0,264.0,57.0,145.0,224.0,785.0,13.0,2021-12-31,,,,,,
VIC,1563.0,85409.0,5258.0,0.0,84304.0,176534.0,1525.0,2021-12-31,,,,,,
WA,1025.0,103.0,14.0,15.0,1.0,1158.0,9.0,2021-12-31,,,,,,
Australia,9417.0,168238.0,43943.0,1345.0,207769.0,430712.0,2253.0,2022-01-01,,,,,,
ACT,0.0,4448.0,0.0,0.0,0.0,4448.0,15.0,2022-01-01,,,,,,
NSW,4189.0,72984.0,36660.0,474.0,95744.0,210051.0,668.0,2022-01-01,,,,,,
NT,228.0,241.0,23.0,115.0,17.0,624.0,1.0,2022-01-01,,,,,,
QLD,1591.0,1193.0,573.0,257.0,12511.0,16125.0,7.0,2022-01-01,,,,,,
SA,723.0,2312.0,1332.0,311.0,8500.0,13178.0,6.0,2022-01-01,,,,,,
TAS,95.0,295.0,80.0,173.0,581.0,1224.0,13.0,2022-01-01,,,,,,
VIC,1565.0,86660.0,5261.0,0.0,90415.0,183901.0,1534.0,2022-01-01,,,,,,
WA,1026.0,105.0,14.0,15.0,1.0,1161.0,9.0,2022-01-01,,,,,,
Australia,9423.0,169558.0,44508.0,1414.0,238025.0,462928.0,2259.0,2022-01-02,,,,,,
ACT,0.0,4919.0,0.0,0.0,0.0,4919.0,15.0,2022-01-02,,,,,,
NSW,4192.0,73672.0,37182.0,485.0,112776.0,228307.0,669.0,2022-01-02,,,,,,
NT,228.0,247.0,25.0,150.0,77.0,727.0,1.0,2022-01-02,,,,,,
QLD,1592.0,1247.0,600.0,264.0,16004.0,19707.0,7.0,2022-01-02,,,,,,
SA,723.0,2373.0,1327.0,317.0,10733.0,15473.0,8.0,2022-01-02,,,,,,
TAS,95.0,311.0,97.0,180.0,945.0,1628.0,13.0,2022-01-02,,,,,,
VIC,1565.0,86683.0,5262.0,0.0,97489.0,190999.0,1537.0,2022-01-02,,,,,,
WA,1028.0,106.0,15.0,18.0,1.0,1168.0,9.0,2022-01-02,,,,,,
Australia,9452.0,174018.0,45118.0,1512.0,269858.0,499958.0,2266.0,2022-01-03,,,,,,
ACT,0.0,5323.0,0.0,0.0,0.0,5323.0,15.0,2022-01-03,,,,,,
NSW,4197.0,74420.0,37735.0,505.0,132207.0,249064.0,673.0,2022-01-03,,,,,,
NT,233.0,266.0,41.0,202.0,63.0,805.0,1.0,2022-01-03,,,,,,
QLD,1592.0,1301.0,619.0,274.0,20155.0,23941.0,7.0,2022-01-03,,,,,,
SA,723.0,2372.0,1326.0,317.0,13283.0,18021.0,8.0,2022-01-03,,,,,,
TAS,95.0,343.0,111.0,193.0,1358.0,2100.0,13.0,2022-01-03,,,,,,
VIC,1582.0,89886.0,5269.0,0.0,102791.0,199528.0,1540.0,2022-01-03,,,,,,
WA,1030.0,107.0,17.0,21.0,1.0,1176.0,9.0,2022-01-03,,,,,,
Australia,9473.0,179422.0,46261.0,1643.0,310854.0,547653.0,2271.0,2022-01-04,,,,,,
ACT,0.0,6244.0,0.0,0.0,0.0,6244.0,15.0,2022-01-04,,,,,,
NSW,4200.0,75322.0,38407.0,521.0,153710.0,272160.0,676.0,2022-01-04,,,,,,
NT,237.0,287.0,44.0,245.0,70.0,883.0,1.0,2022-01-04,,,,,,
QLD,1594.0,1419.0,721.0,285.0,25607.0,29626.0,7.0,2022-01-04,,,,,,
SA,726.0,2999.0,1686.0,348.0,15496.0,21255.0,8.0,2022-01-04,,,,,,
TAS,102.0,371.0,118.0,211.0,2003.0,2805.0,13.0,2022-01-04,,,,,,
VIC,1583.0,92673.0,5268.0,0.0,113966.0,213490.0,1542.0,2022-01-04,,,,,,
WA,1031.0,107.0,17.0,33.0,2.0,1190.0,9.0,2022-01-04,,,,,,
Australia,9495.0,185465.0,47060.0,1762.0,368324.0,612106.0,2289.0,2022-01-05,,,,,,
ACT,0.0,7006.0,0.0,0.0,0.0,7006.0,15.0,2022-01-05,,,,,,
NSW,4202.0,76054.0,38946.0,534.0,187437.0,307173.0,683.0,2022-01-05,,,,,,
NT,239.0,351.0,81.0,302.0,12.0,985.0,1.0,2022-01-05,,,,,,
QLD,1594.0,1470.0,815.0,295.0,32227.0,36401.0,7.0,2022-01-05,,,,,,
SA,727.0,4358.0,1798.0,372.0,17490.0,24745.0,8.0,2022-01-05,,,,,,
TAS,103.0,403.0,133.0,222.0,2810.0,3671.0,13.0,2022-01-05,,,,,,
VIC,1593.0,95713.0,5269.0,0.0,128344.0,230919.0,1553.0,2022-01-05,,,,,,
WA,1037.0,110.0,18.0,37.0,4.0,1206.0,9.0,2022-01-05,,,,,,
Australia,9530.0,191715.0,47701.0,1900.0,433381.0,684227.0,2301.0,2022-01-06,,,,,,
ACT,0.0,8021.0,0.0,0.0,0.0,8021.0,15.0,2022-01-06,,,,,,
NSW,4205.0,76780.0,39449.0,546.0,221153.0,342133.0,689.0,2022-01-06,,,,,,
NT,257.0,369.0,113.0,386.0,105.0,1230.0,1.0,2022-01-06,,,,,,
QLD,1594.0,1551.0,904.0,313.0,42369.0,46731.0,7.0,2022-01-06,,,,,,
SA,727.0,4721.0,1796.0,372.0,20197.0,27813.0,8.0,2022-01-06,,,,,,
TAS,103.0,429.0,149.0,238.0,3503.0,4422.0,13.0,2022-01-06,,,,,,
VIC,1605.0,99733.0,5272.0,0.0,146052.0,252662.0,1559.0,2022-01-06,,,,,,
WA,1039.0,111.0,18.0,45.0,2.0,1215.0,9.0,2022-01-06,,,,,,
Australia,9529.0,238036.0,8707.0,2132.0,503522.0,761926.0,2319.0,2022-01-07,,,,,,
ACT,0.0,9429.0,0.0,0.0,0.0,9429.0,15.0,2022-01-07,,,,,,
NSW,4211.0,117593.0,0.0,573.0,258173.0,380550.0,700.0,2022-01-07,,,,,,
NT,243.0,134.0,445.0,575.0,108.0,1505.0,1.0,2022-01-07,,,,,,
QLD,1594.0,1632.0,998.0,321.0,53132.0,57677.0,8.0,2022-01-07,,,,,,
SA,730.0,4821.0,1794.0,373.0,23795.0,31513.0,8.0,2022-01-07,,,,,,
TAS,103.0,442.0,168.0,241.0,4954.0,5908.0,13.0,2022-01-07,,,,,,
VIC,1606.0,103874.0,5285.0,0.0,163358.0,274123.0,1565.0,2022-01-07,,,,,,
WA,1042.0,111.0,17.0,49.0,2.0,1221.0,9.0,2022-01-07,,,,,,
Australia,9569.0,252531.0,13814.0,3244.0,570675.0,849833.0,2345.0,2022-01-08,,,,,,
ACT,0.0,10777.0,0.0,0.0,0.0,10777.0,15.0,2022-01-08,,,,,,
NSW,4212.0,119192.0,0.0,612.0,301577.0,425593.0,709.0,2022-01-08,,,,,,
NT,246.0,306.0,538.0,669.0,179.0,1938.0,1.0,2022-01-08,,,,,,
QLD,1594.0,1744.0,1059.0,327.0,64059.0,68783.0,9.0,2022-01-08,,,,,,
SA,764.0,11552.0,6724.0,1335.0,15411.0,35786.0,15.0,2022-01-08,,,,,,
TAS,104.0,459.0,185.0,246.0,5954.0,6948.0,13.0,2022-01-08,,,,,,
VIC,1606.0,108389.0,5292.0,0.0,183492.0,298779.0,1574.0,2022-01-08,,,,,,
WA,1043.0,112.0,16.0,55.0,3.0,1229.0,9.0,2022-01-08,,,,,,
Australia,9598.0,259316.0,16289.0,3993.0,633696.0,922892.0,2367.0,2022-01-09,,,,,,
ACT,0.0,12176.0,0.0,0.0,0.0,12176.0,15.0,2022-01-09,,,,,,
NSW,4216.0,120722.0,0.0,636.0,329955.0,455529.0,725.0,2022-01-09,,,,,,
NT,247.0,437.0,601.0,745.0,208.0,2238.0,1.0,2022-01-09,,,,,,
QLD,1594.0,1798.0,1170.0,330.0,77548.0,82440.0,10.0,2022-01-09,,,,,,
SA,785.0,15151.0,8970.0,1974.0,13414.0,40294.0,16.0,2022-01-09,,,,,,
TAS,106.0,500.0,213.0,252.0,6442.0,7513.0,13.0,2022-01-09,,,,,,
VIC,1607.0,108416.0,5320.0,0.0,206128.0,321471.0,1578.0,2022-01-09,,,,,,
WA,1043.0,116.0,15.0,56.0,1.0,1231.0,9.0,2022-01-09,,,,,,
Australia,9618.0,274635.0,17475.0,4312.0,667430.0,973470.0,2389.0,2022-01-10,,,,,,
ACT,0.0,13248.0,0.0,0.0,0.0,13248.0,15.0,2022-01-10,,,,,,
NSW,4219.0,122410.0,0.0,666.0,348436.0,475731.0,743.0,2022-01-10,,,,,,
NT,250.0,566.0,628.0,798.0,383.0,2625.0,1.0,2022-01-10,,,,,,
QLD,1595.0,1831.0,1196.0,330.0,83340.0,88292.0,10.0,2022-01-10,,,,,,
SA,798.0,16759.0,10071.0,2202.0,14483.0,44313.0,18.0,2022-01-10,,,,,,
TAS,106.0,525.0,240.0,256.0,6771.0,7898.0,13.0,2022-01-10,,,,,,
VIC,1606.0,119177.0,5324.0,0.0,214017.0,340124.0,1580.0,2022-01-10,,,,,,
WA,1044.0,119.0,16.0,60.0,0.0,1239.0,9.0,2022-01-10,,,,,,
Australia,9643.0,283883.0,18454.0,4587.0,725726.0,1042293.0,2416.0,2022-01-11,,,,,,
ACT,0.0,15306.0,0.0,0.0,0.0,15306.0,16.0,2022-01-11,,,,,,
NSW,4222.0,124142.0,0.0,692.0,372333.0,501389.0,754.0,2022-01-11,,,,,,
NT,258.0,581.0,636.0,842.0,697.0,3014.0,1.0,2022-01-11,,,,,,
QLD,1595.0,1875.0,1262.0,331.0,99596.0,104659.0,11.0,2022-01-11,,,,,,
SA,811.0,18027.0,10965.0,2394.0,14993.0,47190.0,19.0,2022-01-11,,,,,,
TAS,106.0,531.0,251.0,257.0,7105.0,8250.0,13.0,2022-01-11,,,,,,
VIC,1606.0,123299.0,5324.0,0.0,231002.0,361231.0,1593.0,2022-01-11,,,,,,
WA,1045.0,122.0,16.0,71.0,0.0,1254.0,9.0,2022-01-11,,,,,,
Australia,9658.0,293178.0,269012.0,4817.0,547473.0,1124138.0,2465.0,2022-01-12,,,,,,
ACT,0.0,16358.0,0.0,0.0,0.0,16358.0,16.0,2022-01-12,,,,,,
NSW,4226.0,125907.0,0.0,723.0,405169.0,536025.0,775.0,2022-01-12,,,,,,
NT,258.0,591.0,649.0,852.0,982.0,3332.0,1.0,2022-01-12,,,,,,
QLD,1595.0,1917.0,1332.0,332.0,117559.0,122735.0,11.0,2022-01-12,,,,,,
SA,821.0,19366.0,12110.0,2575.0,15958.0,50830.0,26.0,2022-01-12,,,,,,
TAS,106.0,544.0,267.0,261.0,7804.0,8982.0,13.0,2022-01-12,,,,,,
VIC,1606.0,128372.0,254638.0,0.0,0.0,384616.0,1614.0,2022-01-12,,,,,,
WA,1046.0,123.0,16.0,74.0,1.0,1260.0,9.0,2022-01-12,,,,,,
Australia,9664.0,302350.0,19823.0,4884.0,858437.0,1195158.0,2522.0,2022-01-13,,,,,,
ACT,0.0,17661.0,0.0,0.0,0.0,17661.0,16.0,2022-01-13,,,,,,
NSW,4230.0,127528.0,0.0,758.0,433837.0,566353.0,797.0,2022-01-13,,,,,,
NT,257.0,598.0,662.0,868.0,1441.0,3826.0,1.0,2022-01-13,,,,,,
QLD,1595.0,1985.0,1432.0,332.0,129476.0,134820.0,17.0,2022-01-13,,,,,,
SA,821.0,19351.0,12100.0,2578.0,19558.0,54408.0,30.0,2022-01-13,,,,,,
TAS,106.0,553.0,276.0,263.0,8029.0,9227.0,13.0,2022-01-13,,,,,,
VIC,1606.0,134549.0,5337.0,0.0,266095.0,407587.0,1639.0,2022-01-13,,,,,,
WA,1049.0,125.0,16.0,85.0,1.0,1276.0,9.0,2022-01-13,,,,,,
Australia,9679.0,310419.0,20873.0,5079.0,915743.0,1261793.0,2578.0,2022-01-14,,,,,,
ACT,0.0,18490.0,0.0,0.0,0.0,18490.0,16.0,2022-01-14,,,,,,
NSW,4233.0,129014.0,0.0,788.0,456763.0,590798.0,826.0,2022-01-14,,,,,,
NT,258.0,614.0,672.0,879.0,1787.0,4210.0,1.0,2022-01-14,,,,,,
QLD,1595.0,2054.0,1538.0,337.0,142731.0,148255.0,20.0,2022-01-14,,,,,,
SA,831.0,20554.0,13020.0,2718.0,22904.0,60027.0,36.0,2022-01-14,,,,,,
TAS,106.0,557.0,289.0,265.0,8380.0,9597.0,13.0,2022-01-14,,,,,,
VIC,1606.0,139009.0,5338.0,0.0,283178.0,429131.0,1657.0,2022-01-14,,,,,,
WA,1050.0,127.0,16.0,92.0,0.0,1285.0,9.0,2022-01-14,,,,,,
Australia,9710.0,317857.0,22167.0,5266.0,966985.0,1321985.0,2633.0,2022-01-15,,,,,,
ACT,0.0,19065.0,0.0,0.0,0.0,19065.0,16.0,2022-01-15,,,,,,
NSW,4234.0,129655.0,0.0,812.0,483013.0,617714.0,846.0,2022-01-15,,,,,,
NT,260.0,707.0,770.0,906.0,2143.0,4786.0,2.0,2022-01-15,,,,,,
QLD,1595.0,2106.0,1612.0,337.0,156221.0,161871.0,26.0,2022-01-15,,,,,,
SA,858.0,21778.0,14139.0,2847.0,24644.0,64266.0,40.0,2022-01-15,,,,,,
TAS,106.0,559.0,292.0,266.0,8676.0,9899.0,13.0,2022-01-15,,,,,,
VIC,1606.0,143859.0,5338.0,0.0,292288.0,443091.0,1681.0,2022-01-15,,,,,,
WA,1051.0,128.0,16.0,98.0,0.0,1293.0,9.0,2022-01-15,,,,,,
Australia,9732.0,328420.0,24131.0,4554.0,1011612.0,1378449.0,2668.0,2022-01-16,,,,,,
ACT,0.0,19687.0,0.0,0.0,0.0,19687.0,18.0,2022-01-16,,,,,,
NSW,4234.0,129932.0,816.0,0.0,503449.0,638431.0,866.0,2022-01-16,,,,,,
NT,260.0,734.0,779.0,917.0,2374.0,5064.0,2.0,2022-01-16,,,,,,
QLD,1595.0,2150.0,1648.0,338.0,168945.0,174676.0,29.0,2022-01-16,,,,,,
SA,880.0,22922.0,15232.0,2934.0,24650.0,66618.0,42.0,2022-01-16,,,,,,
TAS,106.0,561.0,294.0,266.0,8961.0,10188.0,13.0,2022-01-16,,,,,,
VIC,1606.0,152304.0,5346.0,0.0,303232.0,462488.0,1689.0,2022-01-16,,,,,,
WA,1051.0,130.0,16.0,99.0,1.0,1297.0,9.0,2022-01-16,,,,,,
Australia,9732.0,328420.0,24131.0,4554.0,1011612.0,1378449.0,2668.0,2022-01-17,,,,,,
ACT,0.0,19687.0,0.0,0.0,0.0,19687.0,18.0,2022-01-17,,,,,,
NSW,4234.0,129932.0,816.0,0.0,503449.0,638431.0,866.0,2022-01-17,,,,,,
NT,260.0,734.0,779.0,917.0,2374.0,5064.0,2.0,2022-01-17,,,,,,
QLD,1595.0,2150.0,1648.0,338.0,168945.0,174676.0,29.0,2022-01-17,,,,,,
SA,880.0,22922.0,15232.0,2934.0,24650.0,66618.0,42.0,2022-01-17,,,,,,
TAS,106.0,561.0,294.0,266.0,8961.0,10188.0,13.0,2022-01-17,,,,,,
VIC,1606.0,152304.0,5346.0,0.0,303232.0,462488.0,1689.0,2022-01-17,,,,,,
WA,1051.0,130.0,16.0,99.0,1.0,1297.0,9.0,2022-01-17,,,,,,
Australia,9754.0,332131.0,24923.0,5563.0,1053130.0,1425501.0,2698.0,2022-01-18,,,,,,
ACT,0.0,20468.0,0.0,0.0,0.0,20468.0,19.0,2022-01-18,,,,,,
NSW,4234.0,130047.0,0.0,820.0,520906.0,656007.0,883.0,2022-01-18,,,,,,
NT,259.0,912.0,1065.0,967.0,1981.0,5184.0,2.0,2022-01-18,,,,,,
QLD,1596.0,2209.0,1703.0,339.0,179348.0,185195.0,36.0,2022-01-18,,,,,,
SA,901.0,24438.0,16474.0,3064.0,26276.0,71153.0,42.0,2022-01-18,,,,,,
TAS,106.0,561.0,295.0,266.0,9352.0,10580.0,13.0,2022-01-18,,,,,,
VIC,1606.0,153362.0,5370.0,0.0,315267.0,475605.0,1694.0,2022-01-18,,,,,,
WA,1052.0,134.0,16.0,107.0,0.0,1309.0,9.0,2022-01-18,,,,,,
Australia,8191.0,184302.0,22271.0,5827.0,1286011.0,1506602.0,2841.0,2022-01-19,,,,,,
ACT,0.0,22852.0,0.0,0.0,0.0,22852.0,20.0,2022-01-19,,,,,,
NSW,4240.0,130754.0,0.0,828.0,555531.0,691353.0,951.0,2022-01-19,,,,,,
NT,260.0,939.0,1081.0,969.0,2099.0,5348.0,2.0,2022-01-19,,,,,,
QLD,1596.0,2406.0,1873.0,339.0,202925.0,209139.0,63.0,2022-01-19,,,,,,
SA,935.0,26650.0,19001.0,3306.0,27291.0,77183.0,47.0,2022-01-19,,,,,,
TAS,106.0,563.0,300.0,266.0,10269.0,11504.0,13.0,2022-01-19,,,,,,
VIC,0.0,0.0,0.0,0.0,487895.0,487895.0,1736.0,2022-01-19,,,,,,
WA,1054.0,138.0,16.0,119.0,1.0,1328.0,9.0,2022-01-19,,,,,,
Australia,9832.0,351503.0,29817.0,6059.0,1152934.0,1550145.0,2896.0,2022-01-20,,,,,,
ACT,0.0,23068.0,0.0,0.0,0.0,23068.0,20.0,2022-01-20,,,,,,
NSW,4248.0,131713.0,0.0,852.0,571891.0,708704.0,976.0,2022-01-20,,,,,,
NT,258.0,950.0,1081.0,980.0,2203.0,5472.0,2.0,2022-01-20,,,,,,
QLD,1599.0,3116.0,2861.0,397.0,212391.0,220364.0,72.0,2022-01-20,,,,,,
SA,960.0,27774.0,20184.0,3441.0,28033.0,80392.0,58.0,2022-01-20,,,,,,
TAS,106.0,565.0,303.0,266.0,10558.0,11798.0,13.0,2022-01-20,,,,,,
VIC,1606.0,164175.0,5372.0,0.0,327856.0,499009.0,1746.0,2022-01-20,,,,,,
WA,1055.0,142.0,16.0,123.0,2.0,1338.0,9.0,2022-01-20,,,,,,
Australia,9867.0,353378.0,30891.0,6155.0,1189722.0,1590013.0,2989.0,2022-01-21,,,,,,
ACT,0.0,23269.0,0.0,0.0,0.0,23269.0,22.0,2022-01-21,,,,,,
NSW,4252.0,132291.0,0.0,860.0,586045.0,723448.0,1022.0,2022-01-21,,,,,,
NT,258.0,957.0,1087.0,977.0,2293.0,5572.0,2.0,2022-01-21,,,,,,
QLD,1599.0,3189.0,2916.0,397.0,223312.0,231413.0,85.0,2022-01-21,,,,,,
SA,989.0,28785.0,21197.0,3531.0,28735.0,83237.0,64.0,2022-01-21,,,,,,
TAS,106.0,565.0,303.0,266.0,10552.0,11792.0,14.0,2022-01-21,,,,,,
VIC,1606.0,164174.0,5372.0,0.0,338782.0,509934.0,1771.0,2022-01-21,,,,,,
WA,1057.0,148.0,16.0,124.0,3.0,1348.0,9.0,2022-01-21,,,,,,
Australia,9871.0,360975.0,30974.0,6175.0,1216550.0,1624545.0,3063.0,2022-01-22,,,,,,
ACT,0.0,23527.0,0.0,0.0,0.0,23527.0,22.0,2022-01-22,,,,,,
NSW,4254.0,132861.0,0.0,877.0,597198.0,735190.0,1062.0,2022-01-22,,,,,,
NT,258.0,972.0,1095.0,978.0,2421.0,5724.0,2.0,2022-01-22,,,,,,
QLD,1599.0,3340.0,3000.0,397.0,233733.0,242069.0,95.0,2022-01-22,,,,,,
SA,989.0,28776.0,21184.0,3531.0,31069.0,85549.0,67.0,2022-01-22,,,,,,
TAS,106.0,565.0,306.0,266.0,10801.0,12044.0,15.0,2022-01-22,,,,,,
VIC,1606.0,170781.0,5372.0,0.0,341324.0,519083.0,1791.0,2022-01-22,,,,,,
WA,1059.0,153.0,17.0,126.0,4.0,1359.0,9.0,2022-01-22,,,,,,
Australia,9932.0,364875.0,36325.0,7141.0,1239212.0,1657485.0,3103.0,2022-01-23,,,,,,
ACT,0.0,23888.0,0.0,0.0,0.0,23888.0,22.0,2022-01-23,,,,,,
NSW,4257.0,133598.0,0.0,884.0,610445.0,749184.0,1086.0,2022-01-23,,,,,,
NT,259.0,1026.0,1145.0,993.0,2458.0,5881.0,2.0,2022-01-23,,,,,,
QLD,1599.0,3430.0,3037.0,398.0,242243.0,250707.0,105.0,2022-01-23,,,,,,
SA,1022.0,29607.0,21929.0,3593.0,31614.0,87765.0,67.0,2022-01-23,,,,,,
TAS,129.0,2360.0,4824.0,1146.0,3937.0,12396.0,15.0,2022-01-23,,,,,,
VIC,1606.0,170790.0,5373.0,0.0,348509.0,526278.0,1797.0,2022-01-23,,,,,,
WA,1060.0,176.0,17.0,127.0,6.0,1386.0,9.0,2022-01-23,,,,,,
Australia,9962.0,372344.0,37255.0,7384.0,1253503.0,1680448.0,3154.0,2022-01-24,,,,,,
ACT,0.0,24031.0,0.0,0.0,0.0,24031.0,24.0,2022-01-24,,,,,,
NSW,4262.0,134501.0,0.0,901.0,617911.0,757575.0,1110.0,2022-01-24,,,,,,
NT,259.0,1130.0,1227.0,1160.0,2210.0,5986.0,2.0,2022-01-24,,,,,,
QLD,1599.0,3519.0,3093.0,400.0,248673.0,257284.0,118.0,2022-01-24,,,,,,
SA,1044.0,30363.0,22704.0,3648.0,32753.0,90512.0,69.0,2022-01-24,,,,,,
TAS,130.0,2364.0,4837.0,1148.0,4046.0,12525.0,15.0,2022-01-24,,,,,,
VIC,1606.0,176249.0,5377.0,0.0,347903.0,531135.0,1807.0,2022-01-24,,,,,,
WA,1062.0,187.0,17.0,127.0,7.0,1400.0,9.0,2022-01-24,,,,,,
Australia,9987.0,376914.0,38104.0,7470.0,1273679.0,1706154.0,3225.0,2022-01-25,,,,,,
ACT,0.0,24811.0,0.0,0.0,0.0,24811.0,25.0,2022-01-25,,,,,,
NSW,4266.0,135122.0,0.0,899.0,626898.0,767185.0,1139.0,2022-01-25,,,,,,
NT,259.0,1148.0,1233.0,1176.0,2267.0,6083.0,2.0,2022-01-25,,,,,,
QLD,1600.0,3648.0,3158.0,400.0,254135.0,262941.0,129.0,2022-01-25,,,,,,
SA,1059.0,31181.0,23474.0,3717.0,33734.0,93165.0,74.0,2022-01-25,,,,,,
TAS,132.0,2365.0,4842.0,1150.0,4198.0,12687.0,16.0,2022-01-25,,,,,,
VIC,1606.0,178442.0,5378.0,0.0,352438.0,537864.0,1831.0,2022-01-25,,,,,,
WA,1065.0,197.0,19.0,128.0,9.0,1418.0,9.0,2022-01-25,,,,,,
Australia,10007.0,381955.0,39944.0,7784.0,1299543.0,1739233.0,3330.0,2022-01-26,,,,,,
ACT,0.0,25389.0,0.0,0.0,0.0,25389.0,25.0,2022-01-26,,,,,,
NSW,4270.0,135731.0,0.0,908.0,639747.0,780656.0,1167.0,2022-01-26,,,,,,
NT,261.0,1373.0,1238.0,1306.0,2095.0,6273.0,2.0,2022-01-26,,,,,,
QLD,1600.0,4117.0,3447.0,456.0,262256.0,271876.0,138.0,2022-01-26,,,,,,
SA,1066.0,32008.0,24500.0,3776.0,34392.0,95742.0,87.0,2022-01-26,,,,,,
TAS,139.0,2704.0,5354.0,1210.0,3512.0,12919.0,17.0,2022-01-26,,,,,,
VIC,1606.0,180414.0,5385.0,0.0,357531.0,544936.0,1885.0,2022-01-26,,,,,,
WA,1065.0,219.0,20.0,128.0,10.0,1442.0,9.0,2022-01-26,,,,,,
